Channel Link,Channel Name,Channel Icon,Affinity Index,Power of Influence,Views,Users,Age,Gender
https://www.youtube.com/channel/UC12ANw5olxOYPgHx3kSZL6g,اسرار علميه,https://yt3.ggpht.com/ytc/AKedOLSRu_N6eYzjKiGx4AkPEK1jORsY66QOm37tGSB2=s88-c-k-c0x00ffffff-no-rj,15,0,300,250,,
https://www.youtube.com/channel/UC12d7FGwqjbuy57W1Zx-gPA,Ammar Ecom عمار ايكوم,https://yt3.ggpht.com/ytc/AKedOLSJkCzNvClvTANNLRai4VBZuoOdV-Oz6QE23yMh=s88-c-k-c0x00ffffff-no-rj,13,0,250,150,,
https://www.youtube.com/channel/UC13Cpu6F6Vv2Xru5HXJobpA,الفلاح اليوم,https://yt3.ggpht.com/ytc/AKedOLSstbVEGTRwejK9OJRRnyoMPr1PyBDUmP1ZNpI73A=s88-c-k-c0x00ffffff-no-rj,0,0,100,100,35-44 : 100.0%,Male : 100.0%
https://www.youtube.com/channel/UC14XrlhwUuh6cLCkB1kEmtQ,Alking /الكينج,https://yt3.ggpht.com/ytc/AKedOLRu9s7wYyFMeQJck-p-nPOCElt1YU3rH2sPbjv7=s88-c-k-c0x00ffffff-no-rj,3,0,100,100,,
https://www.youtube.com/channel/UC14wiwzOOmwU9wlFGE8Hb1g,معلومة صح,https://yt3.ggpht.com/ytc/AKedOLQ0yVXb1MuOjtKsXW3A2m_JwJjxoyvRkFZuJk0-=s88-c-k-c0x00ffffff-no-rj,0,0,100,100,"25-34 : 36.4%
18-24 : 63.6%","Female : 36.4%
Male : 63.6%"
https://www.youtube.com/channel/UC15AiYjlo9-Fu0fH9XTeiJA,نور البيان لتفسير الأحلام والعلم الروحاني,https://yt3.ggpht.com/ytc/AKedOLQAXON-7L9pTH3etAg0_3u4t1OYnVF9D_r0_NZh=s88-c-k-c0x00ffffff-no-rj,1,0,100,100,,
https://www.youtube.com/channel/UC163QvLyVbXtpRSs4rVEkwA,جوهر -Gohar,https://yt3.ggpht.com/ytc/AKedOLR92zqK4Z1pc_7aQ6fcgLZTbx6J2kCJLu2KHis8Ug=s88-c-k-c0x00ffffff-no-rj,10,0,400,150,,
https://www.youtube.com/channel/UC17BtGI5N6p5WbIOzFzAFpg,FishyBlox,https://yt3.ggpht.com/ytc/AKedOLR33WykqBsyWQ0NUoRKjgbMJAndcmlhU0KnKEHB2A=s88-c-k-c0x00ffffff-no-rj,50,0,3000,450,,
https://www.youtube.com/channel/UC1B5ofDUrYUgVfh_HGDcV1g,Ahmad Sekmani,https://yt3.ggpht.com/yucdFRiiV7JASJ_OZJZErsZGXkVb2oqhQyH7dNm1BZJh_exP4E3YqL8YFr1y291LPPOL7lqecQ=s88-c-k-c0x00ffffff-no-rj,4,0,150,100,,
https://www.youtube.com/channel/UC1EhvHCkcYXrtxzhFrYMo5Q,منوعات و افكار مدهشة,https://yt3.ggpht.com/9ZE7poSZ4s-ZlThgVUg8KBeqtwa37C8jpRlr8REYXML7H7ccZWy-6UKNPhBm8nTzRGB3Z6Doyw=s88-c-k-c0x00ffffff-no-rj,23,0,450,250,,
